Número,NI Beneficiário,Origem,Situação,Valor,NIs_iguais,Tempo_decorrido,Natureza do Processo,Forma de Cadastramento,Crédito,Situação Cadastral - Código,País - Código,Estrangeiro,Nacionalidade - Código,Sexo - Código,UF,Município - Código,Telefone - DDD,Idade,Tempo de Óbito
829,848,Fazendário,CREDITADA,51.45,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,5403,34,30,0
830,848,Fazendário,CREDITADA,51.26,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,5403,34,30,0
831,1100,Fazendário,CREDITADA,51.07,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4123,31,32,0
832,195,Fazendário,CREDITADA,1920.38,S,0,ELETRÔNICO,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,PR,7739,44,51,0
833,942,Fazendário,CREDITADA,4235.35,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,4123,28,37,0
834,3218,Fazendário,CREDITADA,12.29,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,MG,4725,38,53,0
835,3790,Fazendário,CREDITADA,323.02,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,53,0
836,717,Fazendário,CREDITADA,157.78,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
837,3790,Fazendário,CREDITADA,323.02,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,53,0
838,717,Fazendário,CREDITADA,146.29,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
839,717,Fazendário,CREDITADA,157.51,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
840,717,Fazendário,CREDITADA,146.29,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
841,3790,Fazendário,CREDITADA,323.61,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,53,0
842,717,Fazendário,CREDITADA,157.2,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
843,717,Fazendário,CREDITADA,158.02,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,19,51,0
844,1737,Fazendário,CREDITADA,167.5,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8937,51,53,0
845,791,Fazendário,CREDITADA,276.66,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,7107,11,34,0
846,3351,Fazendário,CREDITADA,36.32,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8637,55,29,0
847,3351,Fazendário,CREDITADA,25.98,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8637,55,29,0
848,24,Fazendário,CREDITADA,710.79,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,GO,9373,62,28,0
849,1877,Fazendário,CREDITADA,291.04,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RO,3,69,53,0
850,744,Fazendário,CREDITADA,4415.05,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,59,0
851,744,Fazendário,CREDITADA,1268.47,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,59,0
852,2787,Fazendário,CREDITADA,579.39,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,GO,9599,64,59,0
853,3650,Fazendário,CREDITADA,21.6,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,32,0
854,3650,Fazendário,CREDITADA,32.85,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,32,0
855,1807,Fazendário,CREDITADA,1089.35,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5387,0,38,0
856,712,Fazendário,CREDITADA,375.34,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,CE,1463,88,40,0
857,2424,Fazendário,CREDITADA,638.69,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7075,11,35,0
858,316,Fazendário,CREDITADA,1653.69,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,CE,1247,66,45,0
859,3131,Fazendário,CREDITADA,1524.21,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6291,19,35,0
860,3348,Fazendário,CREDITADA,1317.18,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,48,0
861,903,Fazendário,CREDITADA,217.71,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6163,16,45,0
862,3600,Fazendário,CREDITADA,1696.32,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6645,12,38,0
863,2024,Fazendário,CREDITADA,101.73,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,28,43,0
864,2358,Fazendário,CREDITADA,2.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,DF,9701,61,38,0
865,1394,Fazendário,CREDITADA,45.63,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,40,0
866,3478,Fazendário,CREDITADA,53.06,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PE,2531,81,33,0
867,3478,Fazendário,CREDITADA,11.86,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PE,2531,81,33,0
868,2175,Fazendário,CREDITADA,1472.17,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RJ,6001,21,55,0
869,3255,Fazendário,CREDITADA,169.17,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4123,31,33,0
870,2435,Fazendário,CREDITADA,4522.67,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6865,19,57,0
871,935,Fazendário,CREDITADA,5671.42,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6229,18,37,0
872,500,Fazendário,CREDITADA,2018.4,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5403,34,56,0
873,3449,Fazendário,CREDITADA,413.32,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,7107,11,48,0
874,75,Fazendário,CREDITADA,327.98,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
875,2071,Fazendário,CREDITADA,26.49,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7145,15,55,0
876,2170,Fazendário,CREDITADA,3547.44,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,7057,11,52,0
877,2577,Fazendário,CREDITADA,1535.4,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PR,9915,45,53,0
878,2866,Fazendário,CREDITADA,51.26,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,4733,32,21,0
879,1161,Fazendário,CREDITADA,53.14,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
880,1161,Fazendário,CREDITADA,52.87,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
881,1161,Fazendário,CREDITADA,52.64,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
882,1161,Fazendário,CREDITADA,52.36,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
883,1161,Fazendário,CREDITADA,52.11,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
884,1161,Fazendário,CREDITADA,51.88,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4445,37,34,0
885,3340,Fazendário,CREDITADA,56.36,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4123,31,39,0
886,1852,Fazendário,CREDITADA,2931.78,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,4,105,Não,105,F,BA,3849,71,57,0
887,2349,Fazendário,CREDITADA,53.64,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,5255,0,29,0
888,2349,Fazendário,CREDITADA,52.36,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,5255,0,29,0
889,1546,Fazendário,CREDITADA,56.42,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,5175,0,47,0
890,333,Fazendário,CREDITADA,52.36,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,SC,8161,0,53,0
891,2480,Fazendário,CREDITADA,1146.36,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,6001,21,46,0
892,399,Fazendário,CREDITADA,52.71,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,2673,0,32,0
893,399,Fazendário,CREDITADA,52.49,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,2673,0,32,0
894,213,Fazendário,CREDITADA,40.23,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6619,11,29,0
895,415,Fazendário,CREDITADA,435.37,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2111,83,55,0
896,595,Fazendário,CREDITADA,126.02,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6425,16,32,0
897,595,Fazendário,CREDITADA,86.55,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6425,16,32,0
898,1444,Fazendário,CREDITADA,3468.83,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SC,8081,49,51,0
899,2403,Fazendário,CREDITADA,1392.9,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,10,105,Não,105,M,RS,8589,51,45,0
900,1139,Fazendário,CREDITADA,2732.21,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,5373,31,54,0
901,3676,Fazendário,CREDITADA,52.64,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,5049,35,32,0
902,3546,Fazendário,CREDITADA,51.45,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,M,MG,4123,31,34,0
903,592,Fazendário,CREDITADA,208.98,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,12,33,0
904,2743,Fazendário,CREDITADA,338.04,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,6569,16,34,0
905,2181,Fazendário,CREDITADA,125.66,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4359,31,56,0
906,3779,Fazendário,CREDITADA,157.56,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,43,0
907,870,Fazendário,CREDITADA,810.93,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7243,15,50,0
908,3782,Fazendário,CREDITADA,8953.53,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,DF,9701,61,48,0
909,2207,Fazendário,CREDITADA,440.49,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,RS,8561,51,38,0
910,778,Fazendário,CREDITADA,73.05,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5843,22,31,0
911,778,Fazendário,CREDITADA,202.59,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5843,22,31,0
912,778,Fazendário,CREDITADA,5.91,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5843,22,31,0
913,778,Fazendário,CREDITADA,97.21,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5843,22,31,0
914,1394,Fazendário,CREDITADA,25.3,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,40,0
915,1394,Fazendário,CREDITADA,23.53,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,40,0
916,1394,Fazendário,CREDITADA,57.3,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,40,0
917,1449,Fazendário,CREDITADA,363.99,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PR,7535,41,29,0
918,375,Fazendário,CREDITADA,191.03,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PE,2357,0,58,0
919,3528,Fazendário,CREDITADA,233.97,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4751,31,51,0
920,3528,Fazendário,CREDITADA,234.09,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4751,31,51,0
921,853,Fazendário,CREDITADA,192.59,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,DF,9701,61,39,0
922,3808,Fazendário,CREDITADA,11408.86,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
923,3808,Fazendário,CREDITADA,11466.26,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
924,3528,Fazendário,CREDITADA,234.1,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4751,31,51,0
925,3528,Fazendário,CREDITADA,233.83,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4751,31,51,0
926,3808,Fazendário,CREDITADA,11476.97,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
927,3808,Fazendário,CREDITADA,233.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
928,3808,Fazendário,CREDITADA,233.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
929,2435,Fazendário,CREDITADA,1809.56,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6865,19,57,0
930,935,Fazendário,CREDITADA,1534.54,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6229,18,37,0
931,935,Fazendário,CREDITADA,6138.24,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,SP,6229,18,37,0
932,1846,Fazendário,CREDITADA,295.88,S,0,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico,0,105,Não,105,F,RS,8599,54,41,0
933,3421,Fazendário,CREDITADA,525.86,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,DF,9701,61,41,0
934,3500,Fazendário,CREDITADA,65.37,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5807,24,38,0
935,3500,Fazendário,CREDITADA,78.39,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5807,24,38,0
936,2503,Fazendário,CREDITADA,20341.14,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,BA,3515,75,45,0
937,3421,Fazendário,CREDITADA,26.17,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,DF,9701,61,41,0
938,536,Fazendário,CREDITADA,30.49,S,0,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente,0,105,Não,105,M,RS,8771,51,32,0
939,670,Fazendário,CREDITADA,62.44,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,MG,4371,31,34,0
940,2978,Fazendário,CREDITADA,2425.23,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4733,32,45,0
941,581,Fazendário,CREDITADA,159.09,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
942,581,Fazendário,CREDITADA,157.78,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
943,581,Fazendário,CREDITADA,160.84,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
944,581,Fazendário,CREDITADA,159.9,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
945,581,Fazendário,CREDITADA,159.43,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
946,581,Fazendário,CREDITADA,158.47,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
947,581,Fazendário,CREDITADA,160.48,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
948,581,Fazendário,CREDITADA,157.51,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
949,581,Fazendário,CREDITADA,160.17,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
950,581,Fazendário,CREDITADA,157.2,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
951,1152,Fazendário,CREDITADA,144.57,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8599,54,47,0
952,581,Fazendário,CREDITADA,160.53,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
953,1152,Fazendário,CREDITADA,144.92,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8599,54,47,0
954,581,Fazendário,CREDITADA,156.69,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
955,581,Fazendário,CREDITADA,160.83,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
956,581,Fazendário,CREDITADA,164.84,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
957,581,Fazendário,CREDITADA,160.14,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
958,581,Fazendário,CREDITADA,159.55,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
959,581,Fazendário,CREDITADA,158.02,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
960,581,Fazendário,CREDITADA,158.79,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
961,581,Fazendário,CREDITADA,160.42,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
962,581,Fazendário,CREDITADA,160.59,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
963,581,Fazendário,CREDITADA,160.69,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
964,932,Fazendário,CREDITADA,763.97,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,PB,1981,83,31,0
965,581,Fazendário,CREDITADA,160.66,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
966,581,Fazendário,CREDITADA,160.86,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RS,8801,51,55,0
967,1011,Fazendário,CREDITADA,53.99,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,SE,3105,79,57,0
968,1011,Fazendário,CREDITADA,53.74,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,SE,3105,79,57,0
969,1011,Fazendário,CREDITADA,53.49,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,SE,3105,79,57,0
970,1011,Fazendário,CREDITADA,53.24,N,0,ELETRÔNICO,Automático,Restituição de Simples Nacional,0,105,Não,105,F,SE,3105,79,57,0
971,778,Fazendário,CREDITADA,108.91,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,RJ,5843,22,31,0
972,373,Fazendário,CREDITADA,32.99,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4123,31,33,0
973,2328,Fazendário,CREDITADA,1824.39,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,57,0
974,2630,Fazendário,CREDITADA,130.73,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,GO,9227,62,30,0
975,3808,Fazendário,CREDITADA,233.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
976,3808,Fazendário,CREDITADA,233.84,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
977,3808,Fazendário,CREDITADA,233.74,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
978,3808,Fazendário,CREDITADA,233.82,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,SP,7107,11,35,0
979,640,Fazendário,CREDITADA,175.64,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,MG,4865,38,36,0
980,75,Fazendário,CREDITADA,323.4,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
981,75,Fazendário,CREDITADA,9709.17,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
982,75,Fazendário,CREDITADA,325.96,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
983,75,Fazendário,CREDITADA,326.88,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
984,75,Fazendário,CREDITADA,328.03,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
985,75,Fazendário,CREDITADA,322.75,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
986,75,Fazendário,CREDITADA,327.56,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
987,75,Fazendário,CREDITADA,324.71,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
988,75,Fazendário,CREDITADA,325.58,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
989,75,Fazendário,CREDITADA,324.07,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
990,75,Fazendário,CREDITADA,330.14,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
991,75,Fazendário,CREDITADA,329.54,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
992,75,Fazendário,CREDITADA,329.25,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,M,PB,2051,83,47,0
993,1910,Fazendário,CREDITADA,82.97,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,MG,4733,35,58,0
994,1910,Fazendário,CREDITADA,856.6,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,MG,4733,35,58,0
995,1910,Fazendário,CREDITADA,602.75,S,0,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior,0,105,Não,105,F,MG,4733,35,58,0
